,Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males Total,Prep Females Total,Prep Total,Year 1 Males Total,Year 1 Females Total,Year 1 Total,Year 2 Males Total,Year 2 Females Total,Year 2 Total,Year 3 Males Total,Year 3 Females Total,Year 3 Total,Year 4 Males Total,Year 4 Females Total,Year 4 Total,Year 5 Males Total,Year 5 Females Total,Year 5 Total,Year 6 Males Total,Year 6 Females Total,Year 6 Total,Primary Ungraded Males Total,Primary Ungraded Females Total,Primary Ungraded Total,Primary Total,Year 7 Males Total,Year 7 Females Total,Year 7 Total,Year 8 Males Total,Year 8 Females Total,Year 8 Total,Year 9 Males Total,Year 9 Females Total,Year 9 Total,Year 10 Males Total,Year 10 Females Total,Year 10 Total,Year 11 Males Total,Year 11 Females Total,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Secondary Ungraded Males Total,Secondary Ungraded Females Total,Secondary Ungraded Total,Secondary Total,Grand Total,Year,CENSUS_TYPE
0,Catholic,2,20,Parade College,Secondary,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,342.0,327.0,0.0,327.0,322.0,0.0,322.0,355.0,0.0,355.0,307.0,0.0,307.0,315.0,0.0,315.0,0.0,0.0,0.0,1968.0,1968.0,2021,F
1,Catholic,2,25,Simonds Catholic College,Secondary,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,72.0,63.0,0.0,63.0,79.0,0.0,79.0,64.0,0.0,64.0,70.0,0.0,70.0,64.0,0.0,64.0,0.0,0.0,0.0,412.0,412.0,2021,F
2,Catholic,2,26,St Marys College Melbourne,Secondary,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,6.0,50.0,56.0,6.0,62.0,79.0,27.0,106.0,91.0,18.0,109.0,79.0,29.0,108.0,91.0,13.0,104.0,0.0,0.0,0.0,539.0,539.0,2021,F
3,Catholic,2,28,St Patrick's College Ballarat,Secondary,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,240.0,231.0,0.0,231.0,225.0,0.0,225.0,219.0,0.0,219.0,208.0,0.0,208.0,174.0,0.0,174.0,0.0,0.0,0.0,1297.0,1297.0,2021,F
4,Catholic,2,29,St Patrick's School,Primary,O,15.0,20.0,35.0,28.0,13.0,41.0,14.0,18.0,32.0,16.0,18.0,34.0,17.0,15.0,32.0,15.0,17.0,32.0,15.0,23.0,38.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,2021,F
5,Catholic,2,30,St Alipius' Parish School,Primary,O,17.0,18.0,35.0,17.0,20.0,37.0,10.0,19.0,29.0,19.0,13.0,32.0,18.0,23.0,41.0,18.0,28.0,46.0,21.0,25.0,46.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,2021,F
6,Catholic,2,33,Emmanuel College Inc.,Secondary,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,135.0,244.0,105.0,120.0,225.0,110.0,107.0,217.0,83.0,121.0,204.0,90.1,99.2,189.3,73.1,99.5,172.6,0.0,0.0,0.0,1251.9,1251.9,2021,F
7,Catholic,2,35,Loreto College,Secondary,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,157.0,0.0,156.0,156.0,0.0,158.0,158.0,0.0,151.0,151.0,0.0,159.0,159.0,0.0,150.4,150.4,0.0,0.0,0.0,931.4,931.4,2021,F
8,Catholic,2,60,St Mary's School,Primary,O,6.0,11.0,17.0,11.0,10.0,21.0,10.7,12.0,22.7,13.2,14.0,27.2,17.0,10.0,27.0,15.0,17.0,32.0,19.0,13.0,32.0,0.0,0.0,0.0,178.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.9,2021,F
9,Catholic,2,77,Sacred Heart School,Primary,O,27.0,22.0,49.0,20.0,25.0,45.0,22.0,26.0,48.0,21.0,29.0,50.0,21.0,23.0,44.0,19.0,19.0,38.0,16.0,25.0,41.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,2021,F
10,Catholic,2,78,St Mary's School,Primary,O,17.0,20.0,37.0,22.0,19.0,41.0,21.0,23.0,44.0,30.0,18.0,48.0,27.0,23.0,50.0,28.0,20.0,48.0,30.0,20.0,50.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,2021,F
11,Catholic,2,98,St Michaels Primary School,Primary,O,30.0,20.0,50.0,18.0,13.0,31.0,16.0,18.0,34.0,16.0,17.0,33.0,16.0,6.0,22.0,14.0,6.0,20.0,11.0,6.0,17.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,2021,F
12,Catholic,2,104,St Patrick's School,Primary,O,17.0,24.0,41.0,13.0,20.6,33.6,16.0,20.0,36.0,30.0,21.0,51.0,19.6,18.0,37.6,26.0,24.0,50.0,19.0,28.0,47.0,0.0,0.0,0.0,296.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.2,2021,F
13,Catholic,2,107,St Mary's School,Primary,O,13.0,11.0,24.0,14.0,17.0,31.0,20.0,16.0,36.0,14.0,16.0,30.0,14.0,22.0,36.0,17.0,14.0,31.0,16.0,21.0,37.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,2021,F
14,Catholic,2,111,Assumption College,Secondary,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,99.0,225.0,107.0,94.0,201.0,132.0,109.0,241.0,112.0,109.0,221.0,94.0,90.0,184.0,96.0,89.0,185.0,0.0,0.0,0.0,1257.0,1257.0,2021,F
15,Catholic,2,113,St Brendan's School,Primary,O,9.0,8.0,17.0,9.0,12.0,21.0,5.0,10.0,15.0,9.0,10.0,19.0,5.0,5.0,10.0,9.0,8.0,17.0,8.0,7.0,15.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,2021,F
16,Catholic,2,130,Catherine McAuley College,Secondary,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,155.0,320.0,151.0,128.0,279.0,132.0,125.0,257.0,110.0,131.0,241.0,82.0,110.0,192.0,86.0,86.0,172.0,0.0,0.0,0.0,1461.0,1461.0,2021,F
